y,x,t,y_image,x_image,retrieval_local_zenith_angle,quantitative_local_zenith_angle,retrieval_solar_zenith_angle,day_solar_zenith_angle,night_solar_zenith_angle,sst_c,time
0.13563198,-0.016911993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.367035,2020-07-28T00:30:05.934142976
0.13563198,-0.013551992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.8569846,2020-07-28T00:30:05.934142976
0.13563198,-0.012431992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.079575,2020-07-28T00:30:05.934142976
0.13563198,-0.011311993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.396179,2020-07-28T00:30:05.934142976
0.13563198,-0.010191994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.3777,2020-07-28T00:30:05.934142976
0.13563198,-0.009071993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.039815,2020-07-28T00:30:05.934142976
0.13563198,-0.007951993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.8671055,2020-07-28T00:30:05.934142976
0.13563198,-0.0068319933,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,10.585981,2020-07-28T00:30:05.934142976
0.13563198,-0.0057119927,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,12.433003,2020-07-28T00:30:05.934142976
0.13563198,-0.003471993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,10.746246,2020-07-28T00:30:05.934142976
0.13563198,-0.0023519925,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.11295,2020-07-28T00:30:05.934142976
0.13563198,-0.0012319923,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.15094,2020-07-28T00:30:05.934142976
0.13563198,-0.00011199266,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.698944,2020-07-28T00:30:05.934142976
0.13563198,0.001008007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,11.683017,2020-07-28T00:30:05.934142976
0.13563198,0.0021280074,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.745417,2020-07-28T00:30:05.934142976
0.13563198,0.0032480075,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.42421,2020-07-28T00:30:05.934142976
0.13563198,0.004368007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.20902,2020-07-28T00:30:05.934142976
0.13563198,0.0054880073,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.60957,2020-07-28T00:30:05.934142976
0.13563198,0.0077280076,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,10.358032,2020-07-28T00:30:05.934142976
0.13563198,0.008848007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.586624,2020-07-28T00:30:05.934142976
